x,y,wl,wr,slope,friction_coefficient
186.25670040,-222.70314370,4.74830092,4.75552157,-1.00000000,-1.00000000
185.59078730,-221.95711340,4.72679125,4.72621162,-1.00000000,-1.00000000
184.93055640,-221.20605030,4.70658132,4.70213387,-1.00000000,-1.00000000
184.27321370,-220.45245860,4.68717329,4.68069685,-1.00000000,-1.00000000
183.61728560,-219.69763520,4.66754799,4.66053986,-1.00000000,-1.00000000
182.96146980,-218.94271430,4.64689099,4.64050154,-1.00000000,-1.00000000
182.30492160,-218.18843020,4.62508510,4.61993463,-1.00000000,-1.00000000
181.64707390,-217.43527910,4.60192653,4.59854903,-1.00000000,-1.00000000
180.98770620,-216.68345870,4.57914036,4.57604196,-1.00000000,-1.00000000
180.32905750,-215.93100800,4.56028604,4.55345896,-1.00000000,-1.00000000
179.67477770,-215.17475430,4.54738405,4.53319880,-1.00000000,-1.00000000
179.02751540,-214.41248940,4.53968122,4.51843016,-1.00000000,-1.00000000
178.38505220,-213.64617180,4.53566974,4.51196676,-1.00000000,-1.00000000
177.74280650,-212.87967260,4.53148824,4.51452787,-1.00000000,-1.00000000
177.09755650,-212.11570190,4.53665986,4.52430135,-1.00000000,-1.00000000
176.44988530,-211.35378160,4.54722768,4.53665266,-1.00000000,-1.00000000
175.80184730,-210.59217370,4.55930522,4.54831420,-1.00000000,-1.00000000
175.15453330,-209.82995030,4.57033887,4.55825215,-1.00000000,-1.00000000
174.50782580,-209.06721210,4.58001265,4.56756650,-1.00000000,-1.00000000
173.86132960,-208.30429490,4.58928298,4.57708012,-1.00000000,-1.00000000
173.21474450,-207.54145310,4.59894526,4.58722078,-1.00000000,-1.00000000
172.56766430,-206.77903100,4.60941575,4.59797932,-1.00000000,-1.00000000
171.91965660,-206.01739730,4.62056983,4.60888857,-1.00000000,-1.00000000
171.27110680,-205.25622510,4.63127707,4.61815592,-1.00000000,-1.00000000
170.62297190,-204.49469950,4.63974272,4.62387725,-1.00000000,-1.00000000
169.97596850,-203.73221250,4.64401216,4.62516592,-1.00000000,-1.00000000
169.32954610,-202.96923270,4.64220425,4.62367143,-1.00000000,-1.00000000
168.68291720,-202.20642790,4.63950764,4.62144753,-1.00000000,-1.00000000
168.03570820,-201.44411540,4.63782323,4.62000280,-1.00000000,-1.00000000
167.38832800,-200.68194810,4.63710630,4.61903608,-1.00000000,-1.00000000
166.74122370,-199.91954670,4.63634863,4.61794345,-1.00000000,-1.00000000
166.09449670,-199.15682510,4.63499205,4.61649678,-1.00000000,-1.00000000
165.44764700,-198.39420760,4.63349004,4.61553384,-1.00000000,-1.00000000
164.79996670,-197.63229530,4.63290545,4.61578904,-1.00000000,-1.00000000
164.15141340,-196.87112620,4.63364287,4.61651440,-1.00000000,-1.00000000
163.50365360,-196.10928140,4.63384028,4.61472948,-1.00000000,-1.00000000
162.85899620,-195.34480970,4.63039719,4.60794777,-1.00000000,-1.00000000
162.21854900,-194.57680810,4.62159627,4.59612217,-1.00000000,-1.00000000
161.58108790,-193.80632530,4.60970627,4.58256732,-1.00000000,-1.00000000
160.94494400,-193.03475490,4.59756909,4.57036388,-1.00000000,-1.00000000
160.30946780,-192.26263430,4.58562109,4.56121168,-1.00000000,-1.00000000
159.67512360,-191.48958360,4.57637671,4.55443318,-1.00000000,-1.00000000
159.04221450,-190.71535750,4.56945982,4.54904447,-1.00000000,-1.00000000
158.41056750,-189.94010140,4.56389583,4.54432148,-1.00000000,-1.00000000
157.77964250,-189.16425750,4.55921668,4.54021593,-1.00000000,-1.00000000
157.14886240,-188.38829600,4.55527955,4.53664636,-1.00000000,-1.00000000
156.51789790,-187.61248430,4.55186452,4.53317557,-1.00000000,-1.00000000
155.88692300,-186.83668090,4.54825865,4.52913801,-1.00000000,-1.00000000
155.25643600,-186.06048110,4.54385616,4.52429703,-1.00000000,-1.00000000
154.62637960,-185.28393180,4.53896866,4.51955610,-1.00000000,-1.00000000
153.99568180,-184.50790320,4.53495269,4.51659752,-1.00000000,-1.00000000
153.36289630,-183.73357610,4.53334339,4.51655443,-1.00000000,-1.00000000
152.72754460,-182.96135340,4.53444338,4.51881477,-1.00000000,-1.00000000
152.09061700,-182.19042960,4.53701538,4.52163683,-1.00000000,-1.00000000
151.45350540,-181.41965810,4.53956113,4.52382268,-1.00000000,-1.00000000
150.81691410,-180.64845670,4.54139543,4.52524996,-1.00000000,-1.00000000
150.18071960,-179.87692800,4.54272444,4.52652509,-1.00000000,-1.00000000
149.54465160,-179.10529500,4.54400736,4.52805995,-1.00000000,-1.00000000
